"Gene","mean","sd"
"UBB",7330.65361432077,4205.81303388617
"HIST1H1C",1955.36868435828,3579.58247025225
"UBC",5190.15390482026,2556.60935745782
"PFN1",3298.03445392869,2039.38910439778
"DAXX",4895.07190141308,1628.72686530801
